id,age,salary,experience,department,performance
1,25,50000,2,Engineering,0.85
2,30,55000,5,Marketing,0.92
3,35,60000,8,Engineering,0.88
4,28,52000,3,HR,0.79
5,40,70000,12,Engineering,0.95
6,22,45000,1,Marketing,0.81
7,45,80000,15,Engineering,0.97
8,32,58000,6,HR,0.84
9,29,53000,4,Marketing,0.87
10,38,65000,10,Engineering,0.91
11,27,51000,2,Sales,0.83
12,33,62000,7,Engineering,0.89
13,31,59000,5,Marketing,0.90
14,26,49000,1,HR,0.78
15,42,75000,13,Engineering,0.96
16,24,47000,2,Marketing,0.80
17,37,68000,9,Engineering,0.93
18,34,63000,7,Sales,0.88
19,36,66000,8,Engineering,0.94
20,41,72000,11,Marketing,0.91